nk(-)	Ds(m)		dk(m)		Q(m3/s)		dP(Pa)		T(°C)
32	0.444960894	0.021284916	0.425698324	1460.910	97.537
26	0.452301676	0.020502794	0.392178771	2207.373	105.117
63	0.468614526	0.019608938	0.707821229	1344.007	76.858
54	0.484927374	0.019162012	0.579329609	1397.297	86.671
35	0.438435754	0.018826816	0.462011173	2321.583	87.950
58	0.449854748	0.018603352	0.657541899	1746.391	72.870
38	0.453117318	0.018379888	0.361452514	1361.376	98.351
46	0.445776536	0.017709498	0.347486034	1008.321	94.513
25	0.493899442	0.017486034	0.598882682	9709.901	93.439
23	0.474324022	0.017150838	0.551396648	10865.494	91.705
25	0.464536312	0.017039106	0.534636871	8969.771	89.266
67	0.45393296	0.016927374	0.316759777	485.714		93.328
67	0.45393296	0.016927374	0.316759777	485.714		93.328
54	0.491452514	0.016592178	0.559776536	2415.768	84.781
63	0.48655866	0.016145252	0.406145251	1055.293	91.948
51	0.478402234	0.015586592	0.408938547	1910.054	90.211
41	0.467798882	0.01547486	0.73575419	9450.769	72.072
40	0.475955308	0.015363128	0.540223464	5583.430	82.722
73	0.47350838	0.015251396	0.744134078	3225.845	69.705
56	0.449039106	0.015139664	0.325139665	1168.857	90.355
31	0.458011174	0.014916202	0.3		3328.106	104.335
43	0.477586592	0.014581006	0.593296089	7113.581	78.557
53	0.489005586	0.014022346	0.339106145	1911.737	95.884
46	0.465351956	0.013575418	0.788826816	14604.064	66.864
23	0.47024581	0.013463688	0.615642458	33308.850	82.612
47	0.44006704	0.013351956	0.512290503	6554.949	73.143
30	0.440882682	0.01301676	0.381005587	9643.223	88.695
29	0.488189944	0.012905028	0.42849162	12725.661	94.010
68	0.48982123	0.012569832	0.755307263	8714.142	69.103
48	0.475139664	0.0124581	0.772067039	18368.127	67.551
33	0.461273744	0.012011174	0.568156425	25352.792	74.595
30	0.456379888	0.011675978	0.470391061	21896.154	81.378
30	0.480849162	0.011564246	0.797206704	61478.373	71.807
28	0.4335419	0.011340782	0.378212291	16933.065	87.831
61	0.46698324	0.011117318	0.752513966	17975.204	63.011
80	0.444145252	0.011005586	0.721787709	10264.691	58.330
35	0.492268156	0.010670392	0.35027933	14226.784	93.312
63	0.435988826	0.010335196	0.305586592	4204.392	79.694
68	0.437620112	0.010111732	0.484357542	9257.323	65.957
41	0.458826816	0.02217877	0.8		2504.687	76.609
42	0.451486034	0.028324022	0.777653631	767.442		82.139
42	0.451486034	0.028324022	0.777653631	767.442		82.139
43	0.484111732	0.028100558	0.55698324	392.361		105.719
40	0.472692738	0.0275419	0.696648045	789.739		92.256
40	0.472692738	0.0275419	0.696648045	795.477		92.200
24	0.450670392	0.026648044	0.515083799	1449.806	103.637
39	0.462905028	0.026089386	0.758100559	1251.045	84.330
37	0.47677095	0.025865922	0.330726257	294.527 122.443
31	0.487374302	0.025418994	0.520670391	1037.582	106.589
24	0.471877094	0.024748604	0.774860335	4304.403	89.562
34	0.447407822	0.024636872	0.448044693	763.002		99.906
36	0.441698324	0.02329609	0.459217877	899.763		94.822
41	0.458826816	0.02217877	0.8		2507.302	76.926
41	0.458826816	0.02217877	0.8		2507.597	76.924
31	0.4604581	0.02150838	0.604469274	2946.829	87.705
27	0.443329608	0.021396648	0.36424581	1492.644	107.611
